,Ae.Aegypti.M,Ae.Albopictus.M,Cx.Quin.M,Ae.Aegypti.F,Ae.Albopictus.F,Cx.Quin.F,time(s)
0,0.027148783,0.028664019,0.047672752,0.020430263,0.121055886,0.038108386,0
1,0.022935214,0.027263854,0.015902946,0.035453785,0.15763518,0.037925284,1
2,0.0325004,0.060380023,0.009787656,0.12600243,0.42621034,0.023166206,2
3,0.010832174,0.039022606,0.018625267,0.047343127,0.645841,0.02408337,3
4,0.011118024,0.042877607,0.048116993,0.015823321,0.16002831,0.031736482,4
5,0.013877005,0.021761674,0.049737357,0.014479663,0.11925255,0.022854496,5
6,0.013133318,0.017253326,0.053747576,0.017646646,0.05456444,0.028005874,6
7,0.010287349,0.004413253,0.027532142,0.018571487,0.03799459,0.02818422,7
8,0.007765377,0.008977971,0.03409044,0.016360534,0.02406464,0.05103832,8
9,0.0070816004,0.009056612,0.029485317,0.015629895,0.016159194,0.06873549,9
10,0.032870654,0.038023215,0.038211662,0.018995734,0.12041213,0.031185223,10
11,0.010190674,0.044206277,0.04785119,0.008207753,0.084697254,0.015122595,11
12,0.013813074,0.027186062,0.017553037,0.05986188,0.7820527,0.015576913,12
13,0.009896868,0.02712557,0.019518664,0.091910824,0.38352144,0.104649395,13
14,0.00747465,0.029226173,0.029038377,0.054424822,0.06237564,0.6977817,14
15,0.006909555,0.031694528,0.035222057,0.036560226,0.1648029,0.27142555,15
16,0.014109951,0.02708177,0.017916381,0.05908789,0.7798446,0.015914688,16
17,0.009410686,0.16033392,0.012849133,0.0075975065,0.040169448,0.032971136,17
18,0.009229215,0.037160017,0.028749162,0.0055727805,0.026152886,0.010118541,18
19,0.013202443,0.093157016,0.005402676,0.015108802,0.026377607,0.011334029,19
20,0.015113231,0.016019357,0.03357979,0.015182181,0.030317262,0.016687388,20
21,0.03638577,0.04250229,0.01021437,0.13481587,0.35588568,0.025376912,21
22,0.01868545,0.026934842,0.021449082,0.044142786,0.13127016,0.04028773,22
23,0.015368747,0.019578325,0.017677587,0.016910085,0.014951987,0.0113273095,23
24,0.009145942,0.015258098,0.031328946,0.0084950095,0.017073823,0.018961634,24
25,0.0070400992,0.006728647,0.010244801,0.012357336,0.018151045,0.010320045,25
26,0.009273901,0.02057631,0.021171171,0.0075613945,0.012946771,0.014852754,26
27,0.010092121,0.012451442,0.019160794,0.008912344,0.014811137,0.009217893,27
28,0.009729743,0.013817854,0.0224799,0.007586035,0.013407758,0.009918998,28
29,0.006436675,0.012831853,0.009769344,0.0076843016,0.010336081,0.01195899,29
30,0.038597792,0.034537975,0.036805116,0.026045866,0.041845117,0.050852507,30
31,0.039253853,0.041823708,0.03177375,0.024683831,0.033560686,0.04769189,31
32,0.033384252,0.042703383,0.02765295,0.02695118,0.033708952,0.038265023,32
33,0.02926132,0.03091187,0.033840332,0.022256104,0.027292605,0.038165085,33
34,0.012370175,0.013285578,0.014873014,0.015252317,0.018629394,0.01496273,34
35,0.025002357,0.032219786,0.013938077,0.031006014,0.027444564,0.027953338,35
36,0.03336842,0.04573644,0.026079506,0.025634168,0.030854778,0.044604354,36
37,0.029360905,0.04749947,0.022934744,0.025372675,0.03224503,0.040521864,37
38,0.028114395,0.028690323,0.026721366,0.024550572,0.031143818,0.036184777,38
39,0.022095447,0.027239697,0.032225322,0.015699951,0.019534318,0.019080007,39
40,0.011743615,0.013853782,0.019354966,0.023070283,0.03615839,0.024981024,40
41,0.015013085,0.034871925,0.033940773,0.019121071,0.039866712,0.060637284,41
42,0.026160272,0.112297386,0.007525657,0.04851075,0.029193902,0.0126887085,42
43,0.022607075,0.05314416,0.017371854,0.034772713,0.037710734,0.034922156,43
44,0.015383735,0.037077036,0.038286258,0.012599474,0.018657226,0.023982542,44
45,0.029033264,0.04331633,0.018842438,0.03362567,0.04287347,0.027256873,45
46,0.032528486,0.02056001,0.01741038,0.10760821,0.07373128,0.10197265,46
47,0.029882865,0.035145447,0.03313333,0.04229414,0.05589265,0.04307244,47
48,0.029052902,0.029244807,0.0192596,0.025180891,0.02583953,0.030863835,48
49,0.023335995,0.040655315,0.022160549,0.021546917,0.03369974,0.02638234,49
50,0.044917453,0.11118257,0.07017306,0.01688519,0.052737072,0.02358362,50
51,0.12806158,0.5294509,0.042257223,0.025419585,0.039849274,0.014731958,51
52,0.21557309,0.3589511,0.10152223,0.040475152,0.028962092,0.010058274,52
53,0.2227417,0.45903197,0.06967625,0.031013466,0.016193176,0.015877435,53
54,0.080163755,0.12168339,0.100276776,0.016128257,0.015007232,0.01624931,54
55,0.033764496,0.03954136,0.03273603,0.031139838,0.056856733,0.039409384,55
56,0.018629508,0.069200136,0.017546508,0.020353198,0.053219315,0.038922694,56
57,0.02640635,0.052940533,0.025998753,0.03457516,0.07527456,0.04293314,57
58,0.006213138,0.03668989,0.024318794,0.02497885,0.038942434,0.45301124,58
59,0.011217036,0.01770122,0.05009609,0.02481453,0.010721151,0.48350403,59
60,0.023438338,0.03584383,0.05134537,0.017998856,0.15258847,0.012826382,60
61,0.004888409,0.007424552,0.010399429,0.0089053335,0.014783798,0.014461779,61
