,An.Dirus.M,An.Minimus.M,Cx.Quin.M,An.Dirus.F,An.Minimus.F,Cx.Quin.F,time(s)
0,0.07148402,0.016884312,0.056475982,0.025801746,0.07190326,0.07637955,0
1,0.044060506,0.062987745,0.009936578,0.02414604,0.09621856,0.054062475,1
2,0.43239632,0.079840384,0.009144443,0.016744649,0.109105214,0.06086308,2
3,0.2912938,0.08349772,0.007776032,0.014737141,0.13026053,0.030975543,3
4,0.08952978,0.17218176,0.024778496,0.049571767,0.21682054,0.018711366,4
5,0.036847495,0.02613124,0.021709083,0.10383822,0.08296788,0.006788546,5
6,0.030532598,0.022867102,0.020021787,0.21338841,0.12474807,0.0052355924,6
7,0.0071218945,0.0065402873,0.008493519,0.027393814,0.060672022,0.0042674947,7
8,0.005465334,0.0057743057,0.007806041,0.041964088,0.08308919,0.008075008,8
9,0.010076175,0.013593916,0.013691868,0.016878067,0.03623697,0.020660238,9
10,0.07166016,0.013920661,0.04417309,0.082015954,0.053413913,0.031795897,10
11,0.026792204,0.021467282,0.019703014,0.11082642,0.10654284,0.008590641,11
12,0.032780472,0.025015257,0.022903997,0.18401824,0.22607365,0.0061608725,12
13,0.14165854,0.03205543,0.044389263,0.32201606,0.15500626,0.008849338,13
14,0.08843683,0.035212237,0.025734639,0.08969714,0.11607469,0.014462479,14
15,0.051856555,0.017417023,0.03342201,0.14740865,0.14388826,0.011170118,15
16,0.102311715,0.020993672,0.037689142,0.22844441,0.1128293,0.009709936,16
17,0.034350198,0.017260667,0.01950835,0.082014695,0.1764514,0.007053031,17
18,0.011713902,0.015331392,0.013781767,0.029356617,0.10022643,0.0051456857,18
19,0.007974614,0.017975397,0.048367865,0.07207171,0.12731707,0.023906715,19
20,0.028526044,0.010591094,0.011148396,0.5010892,0.13067535,0.018899024,20
21,0.016498331,0.098253265,0.016915405,0.24844122,0.61180156,0.009348746,21
22,0.016940195,0.027667437,0.008475356,0.32798815,0.31207567,0.011564143,22
23,0.014449211,0.105333604,0.010922806,0.28298822,0.37945867,0.012990963,23
24,0.01073167,0.055964004,0.012917578,0.105718195,0.25331125,0.021441992,24
25,0.010333535,0.033806637,0.008002714,0.06006885,0.24305439,0.035994872,25
26,0.015314694,0.017168308,0.00852593,0.06366353,0.088847466,0.014474241,26
27,0.015559548,0.009373297,0.007246078,0.06722018,0.07488131,0.0064922,27
28,0.01324944,0.00762721,0.010764097,0.046594784,0.079703495,0.004125481,28
29,0.019980311,0.02152666,0.031009521,0.030762099,0.12418185,0.004702158,29
30,0.45572954,0.028811246,0.009955637,0.018390682,0.05677145,0.053522386,30
31,0.33231348,0.02537802,0.061513692,0.027234403,0.13401179,0.16978177,31
32,0.8714261,0.026461303,0.064970955,0.05755082,0.046330735,0.13088569,32
33,0.15559012,0.010192334,0.06533139,0.08286014,0.23438625,0.0064154915,33
34,0.025736168,0.027356656,0.019708872,0.15624298,0.14694495,0.0041323663,34
35,0.0307435,0.017038176,0.028925477,0.07103813,0.10287732,0.0076753334,35
36,0.041533817,0.01760285,0.012638223,0.097270705,0.11986718,0.009960809,36
37,0.017875182,0.016370077,0.010629132,0.021815784,0.10441885,0.022642508,37
38,0.20274623,0.06512578,0.00399033,0.0078016063,0.029963873,0.037513737,38
39,0.58407617,0.0766985,0.023873346,0.0103382375,0.016939543,0.06676625,39
40,0.85008514,0.0062655397,0.100450434,0.017805915,0.02992707,0.07192028,40
41,0.8863641,0.0043252036,0.0805924,0.006271908,0.027280664,0.014455575,41
42,0.21349008,0.0074618263,0.24715398,0.07736906,0.026657915,0.01619633,42
43,0.030628586,0.011775174,0.025672818,0.097561516,0.036860466,0.009906254,43
44,0.049501017,0.039394204,0.024779396,0.040045198,0.063437544,0.009461792,44
45,0.023861848,0.030254265,0.017861817,0.04859375,0.114385284,0.0046297377,45
46,0.004899074,0.0030413652,0.004335269,0.012517282,0.01934401,0.0037197093,46
47,0.034412947,0.016571296,0.016245028,0.118579246,0.08975837,0.0048640906,47
48,0.0028109818,0.008148275,0.0060955686,0.005385873,0.012306223,0.0041995826,48
49,0.015284945,0.02058748,0.04439731,0.019582046,0.05156283,0.017051088,49
50,0.039262656,0.22586662,0.014619502,0.09376695,0.105031446,0.030263864,50
51,0.0115127275,0.0038056257,0.0059433286,0.0898466,0.009678749,0.008066583,51
52,0.030324621,0.004193529,0.008265905,0.048107613,0.062789895,0.0074621406,52
53,0.018249335,0.0036022887,0.0047782734,0.18682648,0.04038654,0.023198156,53
54,0.018617446,0.004692097,0.0076588625,0.07689528,0.07998588,0.006670931,54
55,0.06633645,0.043478556,0.047777843,0.783786,0.023369677,0.0108274445,55
56,0.37838092,0.4001562,0.20271327,0.17452045,0.025311742,0.107788995,56
57,0.9107043,0.019811394,0.028783815,0.011672534,0.017684197,0.053446565,57
58,0.6757611,0.015148439,0.012205321,0.057415944,0.018450681,0.02875931,58
59,0.054314904,0.007467104,0.0130768325,0.316655,0.028684871,0.006812066,59
60,0.042286105,0.0202028,0.038828276,0.11817452,0.057428394,0.02495416,60
